date,company,stock_closing,stock_base,stock_index
2016-01-11,TSLA.Close,207.850006,207.850006,100
2016-01-12,TSLA.Close,209.970001,207.850006,101.01996388684252
2016-01-13,TSLA.Close,200.309998,207.850006,96.37238018650814
2016-01-14,TSLA.Close,206.179993,207.850006,99.19652973211845
2016-01-15,TSLA.Close,204.990005,207.850006,98.62400725646359
2016-01-19,TSLA.Close,204.720001,207.850006,98.49410396456759
2016-01-20,TSLA.Close,198.699997,207.850006,95.59778266256099
2016-01-21,TSLA.Close,199.970001,207.850006,96.20880213012839
2016-01-22,TSLA.Close,202.550003,207.850006,97.45008282559299
2016-01-25,TSLA.Close,196.380005,207.850006,94.48159698393273
2016-01-26,TSLA.Close,193.559998,207.850006,93.12484600072612
2016-01-27,TSLA.Close,188.070007,207.850006,90.48352252633565
2016-01-28,TSLA.Close,189.699997,207.850006,91.26773708151829
2016-01-29,TSLA.Close,191.199997,207.850006,91.9894113450254
2016-02-01,TSLA.Close,196.940002,207.850006,94.7510205989602
2016-02-02,TSLA.Close,182.779999,207.850006,87.93841410810448
2016-02-03,TSLA.Close,173.479996,207.850006,83.46403223101181
2016-02-04,TSLA.Close,175.330002,207.850006,84.35410004270099
2016-02-05,TSLA.Close,162.600006,207.850006,78.22949305086861
2016-02-08,TSLA.Close,147.990005,207.850006,71.20038524319311
2016-02-09,TSLA.Close,148.25,207.850006,71.3254730432868
2016-02-10,TSLA.Close,143.669998,207.850006,69.12195999647938
2016-02-11,TSLA.Close,150.470001,207.850006,72.39355143439352
2016-02-12,TSLA.Close,151.039993,207.850006,72.66778380559681
2016-02-16,TSLA.Close,155.169998,207.850006,74.65479601670062
2016-02-17,TSLA.Close,168.679993,207.850006,81.15467314444051
2016-02-18,TSLA.Close,166.770004,207.850006,80.23574654118605
2016-02-19,TSLA.Close,166.580002,207.850006,80.14433350557614
2016-02-22,TSLA.Close,177.740005,207.850006,85.5135914694176
2016-02-23,TSLA.Close,177.210007,207.850006,85.25860085854411
2016-02-24,TSLA.Close,179,207.850006,86.11979544518272
2016-02-25,TSLA.Close,187.429993,207.850006,90.17560143827949
2016-02-26,TSLA.Close,190.339996,207.850006,91.57565095283182
2016-02-29,TSLA.Close,191.929993,207.850006,92.34062422880083
2016-03-01,TSLA.Close,186.350006,207.850006,89.65600222306465
2016-03-02,TSLA.Close,188.339996,207.850006,90.613418601489
2016-03-03,TSLA.Close,195.740005,207.850006,94.17368263150301
2016-03-04,TSLA.Close,201.039993,207.850006,96.72359258916741
2016-03-07,TSLA.Close,205.289993,207.850006,98.7683363357709
2016-03-08,TSLA.Close,202.600006,207.850006,97.4741400777251
2016-03-09,TSLA.Close,208.720001,207.850006,100.41856866725325
2016-03-10,TSLA.Close,205.179993,207.850006,98.71541355644705
2016-03-11,TSLA.Close,207.5,207.850006,99.83160645181795
2016-03-14,TSLA.Close,215.149994,207.850006,103.51214230900719
2016-03-15,TSLA.Close,218.339996,207.850006,105.04690387163136
2016-03-16,TSLA.Close,221.929993,207.850006,106.77410949894319
2016-03-17,TSLA.Close,226.380005,207.850006,108.91508225407509
2016-03-18,TSLA.Close,232.740005,207.850006,111.97498113134526
2016-03-21,TSLA.Close,238.320007,207.850006,114.65961035382408
2016-03-22,TSLA.Close,234.240005,207.850006,112.69665539485239
2016-03-23,TSLA.Close,222.580002,207.850006,107.0868393431752
2016-03-24,TSLA.Close,227.75,207.850006,109.57420900916404
2016-03-28,TSLA.Close,230.259995,207.850006,110.7818082045184
2016-03-29,TSLA.Close,230.130005,207.850006,110.71926791284288
2016-03-30,TSLA.Close,226.889999,207.850006,109.16044861697046
2016-03-31,TSLA.Close,229.770004,207.850006,110.546065608485
2016-04-01,TSLA.Close,237.589996,207.850006,114.30839025330603
2016-04-04,TSLA.Close,246.990005,207.850006,118.83088663466287
2016-04-05,TSLA.Close,255.470001,207.850006,122.91074987989174
2016-04-06,TSLA.Close,265.420013,207.850006,127.69786160121639
2016-04-07,TSLA.Close,257.200012,207.850006,123.74308615608123
2016-04-08,TSLA.Close,250.070007,207.850006,120.31272541796318
2016-04-11,TSLA.Close,249.919998,207.850006,120.24055366156688
2016-04-12,TSLA.Close,247.820007,207.850006,119.23021402270251
2016-04-13,TSLA.Close,254.529999,207.850006,122.45849971252827
2016-04-14,TSLA.Close,251.860001,207.850006,121.17392048571796
2016-04-15,TSLA.Close,254.509995,207.850006,122.44887546455014
2016-04-18,TSLA.Close,253.880005,207.850006,122.14577708503892
2016-04-19,TSLA.Close,247.369995,207.850006,119.01370597025624
2016-04-20,TSLA.Close,249.970001,207.850006,120.26461091369897
2016-04-21,TSLA.Close,248.289993,207.850006,119.45633188964162
2016-04-22,TSLA.Close,253.75,207.850006,122.08322957662074
2016-04-25,TSLA.Close,251.820007,207.850006,121.15467872538814
2016-04-26,TSLA.Close,253.740005,207.850006,122.0784208204449
2016-04-27,TSLA.Close,251.470001,207.850006,120.98628517720611
2016-04-28,TSLA.Close,247.710007,207.850006,119.17729124337863
2016-04-29,TSLA.Close,240.759995,207.850006,115.83352804906824
2016-05-02,TSLA.Close,241.800003,207.850006,116.3338927206959
2016-05-03,TSLA.Close,232.320007,207.850006,111.77291329979562
2016-05-04,TSLA.Close,222.559998,207.850006,107.07721509519705
2016-05-05,TSLA.Close,211.529999,207.850006,101.77050415865756
2016-05-06,TSLA.Close,214.929993,207.850006,103.40629626924331
2016-05-09,TSLA.Close,208.919998,207.850006,100.51479045903899
2016-05-10,TSLA.Close,208.690002,207.850006,100.40413566309927
2016-05-11,TSLA.Close,208.960007,207.850006,100.53403943611143
2016-05-12,TSLA.Close,207.279999,207.850006,99.72576041205407
2016-05-13,TSLA.Close,207.610001,207.850006,99.88452971225799
2016-05-16,TSLA.Close,208.289993,207.850006,100.21168486278513
2016-05-17,TSLA.Close,204.660004,207.850006,98.46523843737583
2016-05-18,TSLA.Close,211.169998,207.850006,101.59730185429967
2016-05-19,TSLA.Close,215.210007,207.850006,103.54101553405776
2016-05-20,TSLA.Close,220.279999,207.850006,105.98027069578242
2016-05-23,TSLA.Close,216.220001,207.850006,104.02693998478883
2016-05-24,TSLA.Close,217.910004,207.850006,104.84002776502204
2016-05-25,TSLA.Close,219.580002,207.850006,105.64349081616096
2016-05-26,TSLA.Close,225.119995,207.850006,108.30887106156734
2016-05-27,TSLA.Close,223.039993,207.850006,107.30814845393846
2016-05-31,TSLA.Close,223.229996,207.850006,107.39956197066456
2016-06-01,TSLA.Close,219.559998,207.850006,105.63386656818284
2016-06-02,TSLA.Close,218.960007,207.850006,105.34520119282556
2016-06-03,TSLA.Close,218.990005,207.850006,105.35963371586334
2016-06-06,TSLA.Close,220.679993,207.850006,106.17271427935393
2016-06-07,TSLA.Close,232.339996,207.850006,111.78253033103111
2016-06-08,TSLA.Close,235.520004,207.850006,113.3124836185956
2016-06-09,TSLA.Close,229.360001,207.850006,110.34880653311119
2016-06-10,TSLA.Close,218.789993,207.850006,105.26340470733497
2016-06-13,TSLA.Close,217.869995,207.850006,104.82077878794959
2016-06-14,TSLA.Close,214.960007,207.850006,103.4207364901399
2016-06-15,TSLA.Close,217.699997,207.850006,104.73899000031781
2016-06-16,TSLA.Close,217.929993,207.850006,104.84964479625754
2016-06-17,TSLA.Close,215.470001,207.850006,103.66610285303528
2016-06-20,TSLA.Close,219.699997,207.850006,105.70122235166065
2016-06-21,TSLA.Close,219.610001,207.850006,105.65792382031493
2016-06-22,TSLA.Close,196.660004,207.850006,94.61630903200454
2016-06-23,TSLA.Close,196.399994,207.850006,94.49121401516823
2016-06-24,TSLA.Close,193.149994,207.850006,92.92758644423613
2016-06-27,TSLA.Close,198.550003,207.850006,95.52561812290735
2016-06-28,TSLA.Close,201.789993,207.850006,97.08442972092097
2016-06-29,TSLA.Close,210.190002,207.850006,101.12580992660641
2016-06-30,TSLA.Close,212.279999,207.850006,102.13134129041113
2016-07-01,TSLA.Close,216.5,207.850006,104.16165203286066
