"date","TSLA.Close","MSFT.Close"
"2016-01-11",207.850006,52.299999
"2016-01-12",209.970001,52.779999
"2016-01-13",200.309998,51.639999
"2016-01-14",206.179993,53.110001
"2016-01-15",204.990005,50.990002
"2016-01-19",204.720001,50.560001
"2016-01-20",198.699997,50.790001
"2016-01-21",199.970001,50.48
"2016-01-22",202.550003,52.290001
"2016-01-25",196.380005,51.790001
"2016-01-26",193.559998,52.169998
"2016-01-27",188.070007,51.220001
"2016-01-28",189.699997,52.060001
"2016-01-29",191.199997,55.09
"2016-02-01",196.940002,54.709999
"2016-02-02",182.779999,53
"2016-02-03",173.479996,52.16
"2016-02-04",175.330002,52
"2016-02-05",162.600006,50.16
"2016-02-08",147.990005,49.41
"2016-02-09",148.25,49.279999
"2016-02-10",143.669998,49.709999
"2016-02-11",150.470001,49.689999
"2016-02-12",151.039993,50.5
"2016-02-16",155.169998,51.09
"2016-02-17",168.679993,52.419998
"2016-02-18",166.770004,52.189999
"2016-02-19",166.580002,51.82
"2016-02-22",177.740005,52.650002
"2016-02-23",177.210007,51.18
"2016-02-24",179,51.360001
"2016-02-25",187.429993,52.099998
"2016-02-26",190.339996,51.299999
"2016-02-29",191.929993,50.880001
"2016-03-01",186.350006,52.580002
"2016-03-02",188.339996,52.950001
"2016-03-03",195.740005,52.349998
"2016-03-04",201.039993,52.029999
"2016-03-07",205.289993,51.029999
"2016-03-08",202.600006,51.650002
"2016-03-09",208.720001,52.84
"2016-03-10",205.179993,52.049999
"2016-03-11",207.5,53.07
"2016-03-14",215.149994,53.169998
"2016-03-15",218.339996,53.59
"2016-03-16",221.929993,54.349998
"2016-03-17",226.380005,54.66
"2016-03-18",232.740005,53.490002
"2016-03-21",238.320007,53.860001
"2016-03-22",234.240005,54.07
"2016-03-23",222.580002,53.970001
"2016-03-24",227.75,54.209999
"2016-03-28",230.259995,53.540001
"2016-03-29",230.130005,54.709999
"2016-03-30",226.889999,55.049999
"2016-03-31",229.770004,55.23
"2016-04-01",237.589996,55.57
"2016-04-04",246.990005,55.43
"2016-04-05",255.470001,54.560001
"2016-04-06",265.420013,55.119999
"2016-04-07",257.200012,54.459999
"2016-04-08",250.070007,54.419998
"2016-04-11",249.919998,54.310001
"2016-04-12",247.820007,54.650002
"2016-04-13",254.529999,55.349998
"2016-04-14",251.860001,55.360001
"2016-04-15",254.509995,55.650002
"2016-04-18",253.880005,56.459999
"2016-04-19",247.369995,56.389999
"2016-04-20",249.970001,55.59
"2016-04-21",248.289993,55.779999
"2016-04-22",253.75,51.779999
"2016-04-25",251.820007,52.110001
"2016-04-26",253.740005,51.439999
"2016-04-27",251.470001,50.939999
"2016-04-28",247.710007,49.900002
"2016-04-29",240.759995,49.869999
"2016-05-02",241.800003,50.610001
"2016-05-03",232.320007,49.779999
"2016-05-04",222.559998,49.869999
"2016-05-05",211.529999,49.939999
"2016-05-06",214.929993,50.389999
"2016-05-09",208.919998,50.07
"2016-05-10",208.690002,51.02
"2016-05-11",208.960007,51.049999
"2016-05-12",207.279999,51.509998
"2016-05-13",207.610001,51.080002
"2016-05-16",208.289993,51.830002
"2016-05-17",204.660004,50.509998
"2016-05-18",211.169998,50.810001
"2016-05-19",215.210007,50.32
"2016-05-20",220.279999,50.619999
"2016-05-23",216.220001,50.029999
"2016-05-24",217.910004,51.59
"2016-05-25",219.580002,52.119999
"2016-05-26",225.119995,51.889999
"2016-05-27",223.039993,52.32
"2016-05-31",223.229996,53
"2016-06-01",219.559998,52.849998
"2016-06-02",218.960007,52.48
"2016-06-03",218.990005,51.790001
"2016-06-06",220.679993,52.130001
"2016-06-07",232.339996,52.099998
"2016-06-08",235.520004,52.040001
"2016-06-09",229.360001,51.619999
"2016-06-10",218.789993,51.48
