"date","AAPL.Close","F.Close"
"2016-01-11",98.529999,12.77
"2016-01-12",99.959999,12.85
"2016-01-13",97.389999,12.2
"2016-01-14",99.519997,12.19
"2016-01-15",97.129997,11.97
"2016-01-19",96.660004,11.95
"2016-01-20",96.790001,11.9
"2016-01-21",96.300003,12.01
"2016-01-22",101.419998,12.14
"2016-01-25",99.440002,11.98
"2016-01-26",99.989998,12.26
"2016-01-27",93.419998,11.85
"2016-01-28",94.089996,11.71
"2016-01-29",97.339996,11.94
"2016-02-01",96.43,12.07
"2016-02-02",94.480003,11.51
"2016-02-03",96.349998,11.46
"2016-02-04",96.599998,11.53
"2016-02-05",94.019997,11.45
"2016-02-08",95.010002,11.59
"2016-02-09",94.989998,11.35
"2016-02-10",94.269997,11.34
"2016-02-11",93.699997,11.17
"2016-02-12",93.989998,11.55
"2016-02-16",96.639999,11.87
"2016-02-17",98.120003,12.27
"2016-02-18",96.260002,12.26
"2016-02-19",96.040001,12.1
"2016-02-22",96.879997,12.56
"2016-02-23",94.690002,12.42
"2016-02-24",96.099998,12.08
"2016-02-25",96.760002,12.39
"2016-02-26",96.910004,12.47
"2016-02-29",96.690002,12.51
"2016-03-01",100.529999,13.09
"2016-03-02",100.75,13.22
"2016-03-03",101.5,13.54
"2016-03-04",103.010002,13.59
"2016-03-07",101.870003,13.62
"2016-03-08",101.029999,13.23
"2016-03-09",101.120003,13.19
"2016-03-10",101.169998,13.15
"2016-03-11",102.260002,13.29
"2016-03-14",102.519997,13.27
"2016-03-15",104.580002,13.23
"2016-03-16",105.970001,13.5
"2016-03-17",105.800003,13.47
"2016-03-18",105.919998,13.64
"2016-03-21",105.910004,13.66
"2016-03-22",106.720001,13.59
"2016-03-23",106.129997,13.26
"2016-03-24",105.669998,13.06
"2016-03-28",105.190002,13.09
"2016-03-29",107.68,13.2
"2016-03-30",109.559998,13.35
"2016-03-31",108.989998,13.5
"2016-04-01",109.989998,13.1
"2016-04-04",111.120003,12.8
"2016-04-05",109.809998,12.77
"2016-04-06",110.959999,12.82
"2016-04-07",108.540001,12.52
"2016-04-08",108.660004,12.55
"2016-04-11",109.019997,12.66
"2016-04-12",110.440002,12.81
"2016-04-13",112.040001,13.06
"2016-04-14",112.099998,13.09
"2016-04-15",109.849998,12.94
"2016-04-18",107.480003,13.25
"2016-04-19",106.910004,13.44
"2016-04-20",107.129997,13.64
"2016-04-21",105.970001,13.65
"2016-04-22",105.68,13.61
"2016-04-25",105.080002,13.58
"2016-04-26",104.349998,13.75
"2016-04-27",97.82,13.66
"2016-04-28",94.830002,14.09
"2016-04-29",93.739998,13.56
"2016-05-02",93.639999,13.62
"2016-05-03",95.18,13.43
"2016-05-04",94.190002,13.31
"2016-05-05",93.239998,13.32
"2016-05-06",92.720001,13.44
"2016-05-09",92.790001,13.32
"2016-05-10",93.419998,13.49
"2016-05-11",92.510002,13.32
"2016-05-12",90.339996,13.35
"2016-05-13",90.519997,13.22
"2016-05-16",93.879997,13.32
"2016-05-17",93.489998,13.14
"2016-05-18",94.559998,13.16
"2016-05-19",94.199997,13.09
"2016-05-20",95.220001,13.19
"2016-05-23",96.43,13.13
"2016-05-24",97.900002,13.29
"2016-05-25",99.620003,13.52
"2016-05-26",100.410004,13.46
"2016-05-27",100.349998,13.45
"2016-05-31",99.860001,13.49
"2016-06-01",98.459999,13.11
"2016-06-02",97.720001,13.21
"2016-06-03",97.919998,13.04
"2016-06-06",98.629997,13.18
"2016-06-07",99.029999,13.38
"2016-06-08",98.940002,13.36
"2016-06-09",99.650002,13.26
"2016-06-10",98.830002,13.1
"2016-06-13",97.339996,12.98
"2016-06-14",97.459999,12.84
"2016-06-15",97.139999,13.01
"2016-06-16",97.550003,13.12
"2016-06-17",95.330002,13.26
"2016-06-20",95.099998,13.42
"2016-06-21",95.910004,13.22
"2016-06-22",95.550003,13.18
"2016-06-23",96.099998,13.4
"2016-06-24",93.400002,12.52
"2016-06-27",92.040001,12.16
"2016-06-28",93.589996,12.39
"2016-06-29",94.400002,12.55
"2016-06-30",95.599998,12.57
"2016-07-01",95.889999,12.72
"2016-07-05",94.989998,12.4
"2016-07-06",95.529999,12.57
"2016-07-07",95.940002,12.75
"2016-07-08",96.68,13.09
"2016-07-11",96.980003,13.27
"2016-07-12",97.419998,13.45
"2016-07-13",96.870003,13.48
"2016-07-14",98.790001,13.59
"2016-07-15",98.779999,13.57
"2016-07-18",99.830002,13.65
"2016-07-19",99.870003,13.65
"2016-07-20",99.959999,13.74
"2016-07-21",99.43,13.92
"2016-07-22",98.660004,13.84
"2016-07-25",97.339996,13.83
"2016-07-26",96.669998,13.86
"2016-07-27",102.949997,13.84
"2016-07-28",104.339996,12.71
"2016-07-29",104.209999,12.66
"2016-08-01",106.050003,12.48
"2016-08-02",104.480003,11.94
"2016-08-03",105.790001,12.13
"2016-08-04",105.870003,12.08
"2016-08-05",107.480003,12.19
"2016-08-08",108.370003,12.18
"2016-08-09",108.809998,12.31
"2016-08-10",108,12.25
"2016-08-11",107.93,12.31
"2016-08-12",108.18,12.33
"2016-08-15",109.480003,12.43
"2016-08-16",109.379997,12.34
"2016-08-17",109.220001,12.39
"2016-08-18",109.080002,12.33
"2016-08-19",109.360001,12.39
"2016-08-22",108.510002,12.36
"2016-08-23",108.849998,12.42
"2016-08-24",108.029999,12.3
"2016-08-25",107.57,12.47
"2016-08-26",106.940002,12.38
"2016-08-29",106.82,12.47
"2016-08-30",106,12.55
"2016-08-31",106.099998,12.6
"2016-09-01",106.730003,12.44
"2016-09-02",107.730003,12.5
"2016-09-06",107.699997,12.67
"2016-09-07",108.360001,12.7
